API WELL NUMBER,Nearest_SWIW_km
34005204780000,"85    246.726054
Name: geometry, dtype: float64"
34005204980000,"85    248.991176
Name: geometry, dtype: float64"
34005205090000,"85    247.845582
Name: geometry, dtype: float64"
34005205280000,"85    246.298503
Name: geometry, dtype: float64"
34005205390000,"85    246.923258
Name: geometry, dtype: float64"
34005220620000,"85    246.104999
Name: geometry, dtype: float64"
34005229660000,"85    246.755325
Name: geometry, dtype: float64"
34005230000000,"85    247.547915
Name: geometry, dtype: float64"
34005230010000,"85    247.743165
Name: geometry, dtype: float64"
34005230080000,"85    247.160714
Name: geometry, dtype: float64"
34005230110000,"85    247.300293
Name: geometry, dtype: float64"
34005230180000,"85    248.269018
Name: geometry, dtype: float64"
34005230190000,"85    247.25086
Name: geometry, dtype: float64"
34005230210000,"85    247.268174
Name: geometry, dtype: float64"
34005230230000,"85    248.220502
Name: geometry, dtype: float64"
34005230240000,"85    248.546647
Name: geometry, dtype: float64"
34005230250000,"85    248.641564
Name: geometry, dtype: float64"
34005230260000,"85    248.82564
Name: geometry, dtype: float64"
34005230280000,"85    248.700095
Name: geometry, dtype: float64"
34005230290000,"85    248.402994
Name: geometry, dtype: float64"
34005230320000,"85    248.545439
Name: geometry, dtype: float64"
34005230330000,"85    248.727284
Name: geometry, dtype: float64"
34005230350000,"85    247.892366
Name: geometry, dtype: float64"
34005230360000,"85    247.240681
Name: geometry, dtype: float64"
34005218810000,"85    244.241763
Name: geometry, dtype: float64"
34005218830000,"85    243.478952
Name: geometry, dtype: float64"
34005218930000,"85    222.413268
Name: geometry, dtype: float64"
34005218960000,"85    243.8576
Name: geometry, dtype: float64"
34005219050000,"85    221.85079
Name: geometry, dtype: float64"
34005219080000,"85    247.390926
Name: geometry, dtype: float64"
34005219120000,"85    244.510323
Name: geometry, dtype: float64"
34005220120000,"85    222.594017
Name: geometry, dtype: float64"
34005220130000,"85    249.516116
Name: geometry, dtype: float64"
34005220220000,"85    223.250774
Name: geometry, dtype: float64"
34005220330000,"85    249.357823
Name: geometry, dtype: float64"
34005220430000,"85    229.849823
Name: geometry, dtype: float64"
34005220500000,"85    229.296455
Name: geometry, dtype: float64"
34005220670000,"85    247.659001
Name: geometry, dtype: float64"
34005220700000,"85    246.311216
Name: geometry, dtype: float64"
34005220900000,"85    247.605126
Name: geometry, dtype: float64"
34005221080000,"85    244.643717
Name: geometry, dtype: float64"
34005221150000,"85    247.88788
Name: geometry, dtype: float64"
34005221190000,"85    243.940809
Name: geometry, dtype: float64"
34005221800000,"85    246.59292
Name: geometry, dtype: float64"
34005221870000,"85    244.396802
Name: geometry, dtype: float64"
34005221880000,"85    248.576474
Name: geometry, dtype: float64"
34005221910000,"85    244.377454
Name: geometry, dtype: float64"
34005222060000,"85    246.756747
Name: geometry, dtype: float64"
34005222600000,"85    232.108888
Name: geometry, dtype: float64"
34005222650000,"85    246.743744
Name: geometry, dtype: float64"
34005222690000,"85    248.741183
Name: geometry, dtype: float64"
34005222780000,"85    248.661427
Name: geometry, dtype: float64"
34005231040000,"85    247.79121
Name: geometry, dtype: float64"
34005231110000,"85    240.044665
Name: geometry, dtype: float64"
34005231120000,"85    247.803401
Name: geometry, dtype: float64"
34005231150000,"85    241.820901
Name: geometry, dtype: float64"
34005231170000,"85    247.261225
Name: geometry, dtype: float64"
34005231210000,"85    241.287933
Name: geometry, dtype: float64"
34005231230000,"85    241.598203
Name: geometry, dtype: float64"
34005231300000,"85    244.358035
Name: geometry, dtype: float64"
34005231360000,"85    242.021679
Name: geometry, dtype: float64"
34005231430000,"85    242.47512
Name: geometry, dtype: float64"
34005231440000,"85    240.061417
Name: geometry, dtype: float64"
34005231460000,"85    242.139614
Name: geometry, dtype: float64"
