API_WELLNO,WH_LAT,WH_LONG,CONAME,DT_APP_ISSUED,DT_APP_RECVD,APP_TYP,APPNO,EXIST_WELL,LOCATION_ID,RIG_TYP,PROP_WLTYPE,PROP_WELL_CLASS,APP_TYP_Description
34149201270000,40.3006215816914,-84.2208762832634,POWER GAS MARKETING & TRANS,09/24/2007,09/11/2007,PA,aPATT013164,True,aPATT013164,SERV,OG_R,,Plug and Abandon
34149201240000,40.3007943093365,-84.2094067225233,POWER GAS MARKETING & TRANS,09/25/2007,09/11/2007,PA,aPATT013165,True,aPATT013165,SERV,OG_R,,Plug and Abandon
34149201250000,40.2976490121293,-84.2086091115621,POWER GAS MARKETING & TRANS,09/25/2007,09/11/2007,PA,aPATT013166,True,aPATT013166,SERV,OG_R,,Plug and Abandon
34149201230000,40.3472179662046,-84.2439656932505,POWER GAS MARKETING & TRANS,09/25/2007,09/11/2007,PA,aPATT013167,True,aPATT013167,SERV,OG_R,,Plug and Abandon
34149201180000,40.335016010394,-84.2339606133812,POWER GAS MARKETING & TRANS,09/24/2007,09/11/2007,PA,aPATT013168,True,aPATT013168,SERV,OG_R,,Plug and Abandon
34151255160000,40.6621838938324,-81.6402185750046,POWER GAS MARKETING & TRANS,07/23/2007,07/05/2007,RR,aFREE001328,True,aFREE001328,RTAF,OG_R,POOL,Reissue Revised Location
34151226590000,40.8922570623359,-81.3092560714833,RANGE RESOURCES-APPALACHIA LLC,08/17/2007,08/01/2007,PA,aLANA000656,True,aLANA000656,SERV,OG_R,,Plug and Abandon
34151255870000,40.8635478238003,-81.2142076480744,RANGE RESOURCES-APPALACHIA LLC,07/16/2007,06/28/2007,NW,aPATT012632,False,aPATT012632,RTAF,OG_R,POOL,Drill New Well
34151255880000,40.6847837029047,-81.5134680104504,RANGE RESOURCES-APPALACHIA LLC,07/17/2007,06/29/2007,NW,aPATT012655,False,aPATT012655,RTAF,OG_R,POOL,Drill New Well
34151255890000,40.6825641810234,-81.3951223258601,RANGE RESOURCES-APPALACHIA LLC,07/17/2007,06/29/2007,NW,aPATT012656,False,aPATT012656,RTAF,OG_R,POOL,Drill New Well
